"","team","total_def_pass_penalties_drawn","total_def_pass_penalty_yards_drawn","total_def_pass_penalties_commit","total_def_pass_penalty_yards_commit","net_def_pass_penalties","net_def_pass_penalty_yards"
"1","ARI",17,143,16,170,1,-27
"2","ATL",20,185,16,149,4,36
"3","BAL",20,182,11,164,9,18
"4","BUF",24,209,16,98,8,111
"5","CAR",13,116,9,65,4,51
"6","CHI",13,149,15,238,-2,-89
"7","CIN",12,139,15,138,-3,1
"8","CLE",16,261,16,163,0,98
"9","DAL",20,183,18,173,2,10
"10","DEN",9,113,11,185,-2,-72
"11","DET",15,199,15,136,0,63
"12","GB",15,210,16,185,-1,25
"13","HOU",13,139,16,182,-3,-43
"14","IND",15,149,19,309,-4,-160
"15","JAX",7,87,15,167,-8,-80
"16","KC",16,148,16,159,0,-11
"17","LA",8,86,17,110,-9,-24
"18","LAC",23,265,19,185,4,80
"19","LV",21,212,24,387,-3,-175
"20","MIA",14,75,15,154,-1,-79
"21","MIN",19,218,15,123,4,95
"22","NE",15,185,16,168,-1,17
"23","NO",18,127,7,51,11,76
"24","NYG",7,56,19,135,-12,-79
"25","NYJ",17,163,15,241,2,-78
"26","PHI",13,125,11,145,2,-20
"27","PIT",7,84,19,187,-12,-103
"28","SEA",17,140,13,186,4,-46
"29","SF",27,372,13,150,14,222
"30","TB",19,279,22,189,-3,90
"31","TEN",19,271,17,180,2,91
"32","WAS",15,201,22,199,-7,2
