"","team","total_holds_drawn","total_holds_committed","net_holds"
"1","ARI",28,24,4
"2","ATL",22,12,10
"3","BAL",18,26,-8
"4","BUF",22,26,-4
"5","CAR",18,21,-3
"6","CHI",28,20,8
"7","CIN",30,20,10
"8","CLE",26,25,1
"9","DAL",35,33,2
"10","DEN",22,19,3
"11","DET",21,27,-6
"12","GB",19,15,4
"13","HOU",18,25,-7
"14","IND",13,24,-11
"15","JAX",13,23,-10
"16","KC",20,29,-9
"17","LA",23,16,7
"18","LAC",21,26,-5
"19","LV",20,31,-11
"20","MIA",19,21,-2
"21","MIN",17,31,-14
"22","NE",24,21,3
"23","NO",17,16,1
"24","NYG",16,13,3
"25","NYJ",15,16,-1
"26","PHI",20,21,-1
"27","PIT",30,19,11
"28","SEA",24,14,10
"29","SF",22,25,-3
"30","TB",16,13,3
"31","TEN",27,19,8
"32","WAS",19,12,7
