year,team,qb_tier_avg,time_avg_lead
2022,ARI,2.5,2.5
2022,ATL,3.75,-4
2022,BAL,2.25,3
2022,BUF,1.25,5.25
2022,CAR,4,-2
2022,CHI,3.5,-2
2022,CIN,2,2
2022,CLE,1.5,2
2022,CLE,4,0
2022,DAL,2.25,4
2022,DEN,1.5,1.5
2022,DET,3,-4.5
2022,GB,1,2
2022,HOU,3.5,-3
2022,IND,2.75,4
2022,JAX,3.5,-5.5
2022,KC,1.25,4
2022,LA,2,3
2022,LAC,1.5,2
2022,LV,2.5,0
2022,MIA,3.5,0
2022,MIN,2.75,1.5
2022,NE,3.25,2.5
2022,NO,3.5,-0.5
2022,NYG,3.5,-4.5
2022,NYJ,3.75,-5
2022,PHI,3.5,0
2022,PIT,3.5,-2.5
2022,SEA,4,1
2022,SF,3.75,2
2022,TB,1.25,4
2022,TEN,2.5,2
2022,WAS,3,-2.5
