conference,division,team,qb,sando_qb_tier,min_tal,max_tal,tal_est
AFC,North,BAL,Lamar Jackson,2,-0.4,0.2,0.25
AFC,North,CIN,Joe Burrow,1.75,-0.1,0.4,0.25
AFC,North,CLE,Jacoby Brissett,4.25,0.8,1,1
AFC,North,PIT,Mitchel Trubisky,3.75,-3,-2.5,-2.75
AFC,South,HOU,Davis Mills,3.75,-3,-2.6,-2.75
AFC,South,IND,Matt Ryan,3,4.3,4.8,4.75
AFC,South,JAX,Trevor Lawrence,3.5,-6.6,-6,-6
AFC,South,TEN,Ryan Tannehill,2.75,2.4,2.6,2.5
AFC,East,BUF,Josh Allen,1.5,5.1,5.3,5.25
AFC,East,MIA,Tua Tagovailoa,3.5,-0.8,-0.3,-0.5
AFC,East,NE,Mac Jones,3.5,2.7,3.1,2.75
AFC,East,NYJ,Zach Wilson,3.75,-6.2,-5.7,-5.75
AFC,West,DEN,Russell Wilson,2.25,-2,-1,-1
AFC,West,KC,Patrick Mahomes,1,4,4.8,4.5
AFC,West,LAC,Justin Herbert,1.75,1.2,1.6,1.5
AFC,West,LV,Derek Carr,2.5,-1.4,-0.8,-0.75
NFC,North,CHI,Justin Fields,3.75,-3,-2.5,-2.75
NFC,North,DET,Jared Goff,3,-5,-4.5,-4.75
NFC,North,GB,Aaron Rodgers,1,1.7,2.1,2
NFC,North,MIN,Kirk Cousins,2.5,1.7,1.9,1.75
NFC,South,ATL,Marcus Mariota,4,-4.25,-3.5,-4
NFC,South,CAR,Sam Darnold,4.5,-1.2,0.8,-1
NFC,South,NO,Jameis Winston,3.25,-0.5,-0.2,-0.5
NFC,South,TB,Tom Brady,1.5,4,4.4,4.25
NFC,East,DAL,Dak Prescott,2.25,4.4,4.8,4.5
NFC,East,NYG,Daniel Jones,3.5,-4.75,-4.25,-4.75
NFC,East,PHI,Jalen Hurts,3.25,-0.7,-0.3,-0.5
NFC,East,WAS,Carson Wentz,3.25,-3,-2.5,-2.75
NFC,West,ARI,Kyler Murray,2.5,2.5,3,2.75
NFC,West,LA,Matthew Stafford,1.75,2.5,2.8,2.75
NFC,West,SEA,Drew Lock,4.25,0.5,1.5,1
NFC,West,SF,Trey Lance,4,1.5,2,1.75
